Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league
Erika Vázquez,Athletic Club,Athletic Club,"AMF, LAMF, RCMF",39,19,842,2,1.93,0,0.98,19.9,38.53,Spain,Spain,165,52,5.11,6.21,47.06,1.1,16.67,0,0,0,2.19,3,1.28,2,0.21,0,0,2.19,0.21,1,0.18,0.35,0,0,9,1.64,33.33,22.222,0,0.73,0,3.1,47.06,8.4,39.13,2.19,1.1,0.91,1.46,31.76,83.33,9.49,75,8.58,95.74,7.85,86.05,0.55,33.33,14.13,11.49,0.18,0.55,0.18,0,1.1,16.67,0.18,5.29,82.76,1.1,16.67,0.73,25,0.37,0,1.83,90,Spain 202122
Adriana Nanclares,Real Sociedad,Real Sociedad,GK,19,9,837,0,0,0,0,2.26,50,Spain,Spain,170,52,3.4,0.19,100,0.94,40,0,0,0,3.21,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,100,0,0,0,0.57,26.42,78.57,13.21,62.86,0,0,10.38,94.55,9.81,53.85,26.68,40.08,0,0,0,0,0,0,0,0.94,20,0,0,0,0,0,0,8.49,37.78,Spain 202122
A. De la Nava,Athletic Club,Athletic Club,GK,28,9,833,0,0,0,0,0.57,100,Spain,Spain,0,0,1.71,0.38,100,0.19,100,0,0,0,1.33,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,21.5,79.65,13.89,68.49,0,0,7.23,100,11.04,62.07,32.05,39.07,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,7.23,63.16,Spain 202122
A.Visco,Apollon Limassol,Apollon Limassol,LCB,24,10,826,0,0.19,0,0,,,United States,United States,0,0,,,,,,,0.83,,,3.33,,1,0.11,0,0,,0,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,24.53,53.44,,,,,,,,,,,,,,,,,,Spain 202122
Amaia Peña,Eibar,Eibar,GK,23,9,826,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,2.42,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,32.01,40.41,,,,,,,,,,,,,,,,,,Spain 202122
Cata Coll,Barcelona,Barcelona,GK,20,9,825,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0.49,,,4.43,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,25.6,36.84,,,,,,,,,,,,,,,,,,Spain 202122
G. García,Deportivo de La Coruña,Deportivo de La Coruña,"LCMF, RCMF",24,9,821,2,0.94,1,0.06,,,Venezuela,Venezuela,0,0,,,,,,,0,,,9.31,,1,0.11,0,0,,0.22,1,,,1,,4,,,25,,,,,,,,,,,,,,,,,,,,,,17.2,24.25,,,,,,,,,,,,,,,,,,Spain 202122
H. Yonei,Eibar,Eibar,"DMF, LAMF",22,15,810,0,0,0,0.02,,,Japan,Japan,0,0,,,,,,,0,,,6.58,,3,0.33,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,13.9,18.2,,,,,,,,,,,,,,,,,,Spain 202122
Judith Luzuriaga,Sporting de Huelva,Sporting de Huelva,"RB, RAMF",23,22,807,2,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,7.67,,1,0.11,0,0,,0.22,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,16.41,6.75,,,,,,,,,,,,,,,,,,Spain 202122
Victoria Benitez,Real Betis,Real Betis,"RCB, RB",21,17,804,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0.9,,,7.8,,1,0.11,0,0,,0,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,17.74,18.67,,,,,,,,,,,,,,,,,,Spain 202122
Marta Corredera,Real Madrid,Real Madrid,"LB, LW, LAMF",30,15,801,2,0.75,0,0.22,22.67,52.5,Spain,Spain,162,0,11.34,9.18,69.14,2.04,38.89,0,0,0,4.99,8.46,1.13,0,0,0,0,3.06,0.22,2,0.23,0.09,0,0,8,0.91,50,25,0,1.13,50,3.17,64.29,7.82,43.48,0.79,1.81,0.57,0.68,44.55,72.77,17,59.33,7.14,88.89,14.62,84.5,7.25,50,20.56,33.2,0.02,0.34,0.23,0,0.79,0,0.11,10.65,62.77,2.61,34.78,2.27,15,0.23,0.79,12.36,70.64,Spain 202122
Mirari Uria,Real Sociedad,Real Sociedad,"CF, RWF, LW",19,25,796,2,1.71,0,0.35,18.74,46.43,Spain,Spain,0,0,7.36,6.86,56.1,1.51,66.67,0.33,0.47,0.5,3.18,4.49,0.33,1,0.11,0,0,1.67,0.23,1,0.17,0.29,0,0,10,1.67,30,10,0,0.84,40,2.17,38.46,7.53,37.78,2.68,1.17,0.5,1.84,17.4,73.08,4.35,57.69,4.35,88.46,4.68,71.43,1.34,25,16.58,13.15,0.06,0.67,0.17,0,0.33,0,0.17,1.17,42.86,0.67,75,0.5,0,0.67,0.33,2.84,35.29,Spain 202122
Sanadri,Deportivo Alavés,Deportivo Alavés,CF,22,21,795,3,0.3,0,0.3,,,Spain,Spain,0,0,,,,,,,0,,,2.86,,1,0.11,0,0,,0.34,0,,,0,,4,,,0,,,,,,,,,,,,,,,,,,,,,,26.9,13.12,,,,,,,,,,,,,,,,,,Spain 202122
S. Jakobsson,San Diego Wave,San Diego Wave,"CF, LWF, LAMF",31,10,790,1,1.71,2,1.74,16.63,47.26,Sweden,Sweden,174,63,3.65,3.42,63.33,1.48,30.77,0,0,0.11,1.48,2.53,0.34,0,0,0,0,7.06,0.11,1,0.11,0.2,0,0,12,1.37,50,8.333,0.23,6.61,32.76,6.15,64.81,9.68,48.24,6.27,1.82,1.25,0.34,19.59,58.14,3.08,48.15,3.65,87.5,7.75,58.82,0.8,28.57,19.99,27.18,0.2,1.37,0,0.23,0.57,40,0.8,0.34,33.33,4.22,45.95,0.46,50,0.91,2.16,3.19,57.14,Spain 202122
Xenia Perez,Espanyol,Espanyol,"RCB, LCB, RB",20,10,788,0,0.01,0,0,15.22,57.69,Spain,Spain,0,0,9.95,8.63,62.71,2.34,50,0.73,0.86,0.44,3.8,4.48,1.61,2,0.23,0,0,0.29,0,0,0,0,0,0,1,0.15,0,0,0,0.15,0,0.59,50,1.61,54.55,0.73,0.44,0.15,0.73,17.71,60.33,11.85,48.15,1.17,100,3.51,83.33,5.27,27.78,22.46,37.16,0,0,0,0,0,0,0,2.49,23.53,0.15,0,0.44,0,0,0,4.24,37.93,Spain 202122
Aizpurua,,Eibar,CB,33,10,779,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,8.64,,1,0.12,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,14.71,8.58,,,,,,,,,,,,,,,,,,Spain 202122
Giovanna,Levante,Levante,"CF, LAMF, RWF",29,19,775,3,0.46,1,0.51,,,Brazil,Brazil,169,0,,,,,,,0,,,4.67,,1,0.12,0,0,,0.35,0,,,0,,4,,,0,,,,,,,,,,,,,,,,,,,,,,13.08,7.93,,,,,,,,,,,,,,,,,,Spain 202122
Priscila Borja,,Madrid CF,"AMF, RCMF",36,10,757,1,0.88,0,0,,,Spain,Spain,165,0,,,,,,,0,,,3.9,,3,0.36,0,0,,0.12,1,,,0,,2,,,50,,,,,,,,,,,,,,,,,,,,,,18.91,22.07,,,,,,,,,,,,,,,,,,Spain 202122
M. Korenciova,Levante,Levante,GK,32,8,731,0,0,0,0,,,Slovakia,Slovakia,163,0,,,,,,,0,,,5.29,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,23.51,43.16,,,,,,,,,,,,,,,,,,Spain 202122
Urru,Deportivo Alavés,Deportivo Alavés,RCB,22,13,727,1,0.65,0,0,,,Spain,Spain,0,0,,,,,,,0.39,,,6.71,,1,0.12,0,0,,0.12,1,,,0,,2,,,50,,,,,,,,,,,,,,,,,,,,,,19.77,30.01,,,,,,,,,,,,,,,,,,Spain 202122
M. Vasconcelos,Sevilla,Sevilla,"LAMF, LW, AMF",27,18,725,1,1.06,0,0.04,35.96,45.96,United States,United States,165,0,11.61,12.95,68.97,2.23,20,0.45,0.58,0.22,2.23,2.91,0.89,0,0,0,0,3.8,0.12,1,0.22,0.24,0,0,8,1.79,25,12.5,0,0.89,0,7.37,45.45,16.08,37.5,2.01,3.35,1.56,1.56,24.12,71.3,6.48,48.28,5.58,92,7.59,79.41,0.45,50,14.78,6.82,0.01,0.22,0.22,0,0,0,0,1.79,75,1.34,33.33,0,0,0.89,0.22,4.02,50,Spain 202122
L. Valderas,Logroño,Logroño,LB,28,8,723,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,10.82,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,19.06,30.06,,,,,,,,,,,,,,,,,,Spain 202122
Victoria Losada,Manchester City,Manchester City,"DMF, RCMF, AMF",31,11,723,1,0.93,3,1.97,20.5,55.48,Spain,Spain,168,0,7.72,7.44,66.04,3.09,59.09,0,0,0,2.81,5.22,1.26,1,0.12,0,0,2.11,0.12,1,0.14,0.13,0,0,9,1.26,33.33,11.111,0.42,0.56,50,2.53,44.44,6.32,37.78,1.26,1.54,0.42,0.98,71.05,90.12,19.52,80.58,12.22,98.85,28.22,92.54,4.77,79.41,17.39,37.32,0.28,1.54,0.14,0.14,1.54,18.18,0.84,11.51,87.8,2.67,47.37,1.68,25,1.26,0.28,8.56,85.25,Spain 202122
I. Guehai,Logroño,Logroño,"LWF, LAMF, RAMF",27,10,722,1,0.28,0,0,,,Côte d'Ivoire,Côte d'Ivoire,164,0,,,,,,,0.43,,,2.57,,1,0.12,0,0,,0.12,0,,,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,17.77,34.03,,,,,,,,,,,,,,,,,,Spain 202122
Yolanda Aguirre,Napoli,Napoli,,23,8,720,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,0,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Spain 202122
Alba Merino,Deportivo de La Coruña,Deportivo de La Coruña,"RCMF, LCMF",32,9,719,3,1.33,0,1.17,,,Spain,Spain,159,52,,,,,,,2.07,,,7.76,,0,0,0,0,,0.38,2,,,1,,6,,,33.333,,,,,,,,,,,,,,,,,,,,,,20.57,36.92,,,,,,,,,,,,,,,,,,Spain 202122
Carmen Alvarez,Eibar,Eibar,"CF, RWF",19,16,713,5,0.86,1,1.11,,,Spain,Spain,0,0,,,,,,,0,,,0,,0,0,0,0,,0.63,2,,,0,,5,,,40,,,,,,,,,,,,,,,,,,,,,,12.99,0,,,,,,,,,,,,,,,,,,Spain 202122
Aixa Salvador,Villarreal,Villarreal,"RW, RAMF",20,16,712,1,0.04,0,0,,,Spain,Spain,161,0,,,,,,,1.11,,,3.89,,1,0.13,0,0,,0.13,1,,,0,,2,,,50,,,,,,,,,,,,,,,,,,,,,,10.84,5.44,,,,,,,,,,,,,,,,,,Spain 202122
Beatriz Prades,Villarreal,Villarreal,"DMF, RCMF",25,17,706,0,0.04,0,0,,,Spain,Spain,0,0,,,,,,,1.56,,,7.79,,1,0.13,0,0,,0,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,15.73,23.03,,,,,,,,,,,,,,,,,,Spain 202122
B. Schulze-Solano,Valencia,Valencia,"LCB, CB",23,11,702,0,0,0,0.11,,,Germany,Germany,174,0,,,,,,,1.2,,,6,,2,0.26,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,21.85,29.72,,,,,,,,,,,,,,,,,,Spain 202122
Maria Estella,UDG Tenerife Sur,UDG Tenerife Sur,"RB, LB, RCB",27,14,702,0,0,0,0.07,,,Spain,Spain,171,63,,,,,,,1.13,,,8.49,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,21.27,26.71,,,,,,,,,,,,,,,,,,Spain 202122
Gemma Font,Barcelona,Barcelona,GK,22,8,696,0,0,0,0,0.31,100,Spain,Spain,165,60,1.1,0,0,0,0,0,0,0,1.1,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.01,90.36,7.06,84.44,0,0,5.17,96.97,1.41,33.33,24.23,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,50,Spain 202122
C. Van Slambrouck,SL Benfica,SL Benfica,RCB,29,9,687,1,0.97,0,0,,,United States,United States,178,0,,,,,,,0,,,5,,1,0.13,0,0,,0.13,1,,,0,,3,,,33.333,,,,,,,,,,,,,,,,,,,,,,20.76,34.56,,,,,,,,,,,,,,,,,,Spain 202122
Y. Gimenez,Villarreal,Villarreal,LCB,25,10,683,0,0.2,0,0,,,Venezuela,Venezuela,159,45,,,,,,,1.07,,,6.96,,2,0.26,0,0,,0,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,21.08,38.12,,,,,,,,,,,,,,,,,,Spain 202122
Virgy,,Sevilla,LDMF,33,10,674,0,0.26,1,2.02,22.36,45.9,Spain,Spain,161,47,11.91,11.18,59.02,1.65,22.22,0.92,1.34,0,4.4,6.43,1.83,3,0.4,0,0,2.2,0,0,0,0.05,0,0,4,0.73,25,0,0.18,0.55,66.67,2.57,57.14,5.13,35.71,0.37,0.55,0,0.37,35.38,72.02,14.66,60,5.32,93.1,12.65,78.26,7.33,40,22.67,37.92,0.37,2.38,0,0,0.73,25,0.55,6.6,47.22,1.83,40,1.83,20,0.55,0.37,9.53,65.38,Spain 202122
D. Čonč,Valencia,Valencia,"RCMF, RW, LCMF",29,13,669,0,0,0,0,,,Slovenia,Slovenia,164,0,,,,,,,0.47,,,4.69,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,19.85,28.09,,,,,,,,,,,,,,,,,,Spain 202122
Marta Cazalla,Logroño,Logroño,RCB,24,8,665,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,8.05,,3,0.41,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,24.81,45.44,,,,,,,,,,,,,,,,,,Spain 202122
J. López,OL Reign,OL Reign,LB,23,8,664,1,0,0,0.19,,,Mexico,Mexico,0,0,,,,,,,0,,,2.95,,0,0,0,0,,0.14,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,19.16,32.2,,,,,,,,,,,,,,,,,,Spain 202122
Ana de Teresa,Eibar,Eibar,"CF, AMF",20,14,661,1,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,0.79,,0,0,0,0,,0.14,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,13.1,14.56,,,,,,,,,,,,,,,,,,Spain 202122
Iraia,Real Sociedad,Real Sociedad,"RB, LB",26,14,654,0,0.05,1,0.29,,,Spain,Spain,167,61,,,,,,,0,,,12.53,,0,0,0,0,,0,0,,,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,21.32,33.55,,,,,,,,,,,,,,,,,,Spain 202122
A. Poljak,Real Sociedad,Real Sociedad,"RB, RWF, RW",23,15,653,4,1.28,1,1.58,18.36,50.54,Serbia,Serbia,0,0,6.51,6.51,63.64,2.37,50,0,0,0.2,2.37,3.67,0.59,1,0.14,0,0,2.17,0.55,2,0.39,0.25,0,0,9,1.78,22.22,22.222,0.2,2.57,15.38,1.97,70,6.51,42.42,3.55,1.38,0.79,0.99,26.64,69.63,6.91,51.43,6.32,100,9.28,57.45,2.76,50,19,23.5,0.31,0.59,0,0,0.2,0,0.39,3.16,43.75,3.16,25,0.59,0,0.79,0.59,3.55,66.67,Spain 202122
Laura Sáenz,Real Betis,Real Betis,"RW, RWF, LAMF",21,20,650,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0.6,,,3.6,,2,0.28,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,10.52,11.66,,,,,,,,,,,,,,,,,,Spain 202122
Claudia,Real Madrid,Real Madrid,"RCB, RCMF",24,17,640,0,0.28,0,0.09,18.09,59.84,Spain,Spain,164,54,9.68,7.55,77.36,3.13,54.55,0.43,0.76,0.28,3.42,6.05,1.28,0,0,0,0,0.43,0,0,0,0.04,0,0,3,0.43,0,0,0,0.14,0,0.71,20,3.84,37.04,0.28,2.14,1.14,0.85,48.42,86.47,18.09,77.95,6.12,95.35,17.8,93.6,3.56,44,14.51,11.03,0.01,0.43,0,0,0.28,100,0,5.7,80,0,0,0,0,0,0,7.26,66.67,Spain 202122
Sara Navarro,Eibar,Eibar,"CF, LW",26,17,636,1,0.03,0,0.15,,,Spain,Spain,0,0,,,,,,,0,,,2.26,,0,0,0,0,,0.14,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,17.25,24.04,,,,,,,,,,,,,,,,,,Spain 202122
Sara,Espanyol,Espanyol,LB,21,10,635,0,0.01,0,0.66,24.09,55.04,Spain,Spain,0,0,13.44,12.14,64.62,0.93,20,0,0,0.19,5.6,6.25,1.49,1,0.14,0,0,1.49,0,0,0,0,0,0,1,0.19,0,0,0,2.05,18.18,2.24,50,6.16,36.36,0.19,1.68,1.68,1.68,19.23,56.31,11.76,55.56,1.31,85.71,3.55,57.89,3.55,42.11,16.61,25.12,0.12,0.37,0,0,0,0,0.19,2.99,50,0.93,40,0,0,0.19,0.37,5.23,46.43,Spain 202122
C. Gey,Sporting de Huelva,Sporting de Huelva,"LW, AMF, RAMF",23,20,629,1,0.1,2,0.69,,,Spain,Spain,0,0,,,,,,,0.58,,,5.77,,0,0,0,0,,0.14,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,13.06,4.6,,,,,,,,,,,,,,,,,,Spain 202122
E. Dios Nieto,Deportivo de La Coruña,Deportivo de La Coruña,"LWB, LW, LB",20,10,620,0,0.16,0,0.21,,,Spain,Spain,0,0,,,,,,,2.31,,,8.46,,0,0,0,0,,0,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,15.23,18.45,,,,,,,,,,,,,,,,,,Spain 202122
Ana Velázquez,Logroño,Logroño,"RDMF, LDMF",23,7,619,0,0,0,0.03,,,Spain,Spain,0,0,,,,,,,2,,,7,,1,0.15,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,19.4,37.32,,,,,,,,,,,,,,,,,,Spain 202122
Vera Martínez,Deportivo Alavés,Deportivo Alavés,LCB,22,11,608,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0.53,,,6.64,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,22.31,39.73,,,,,,,,,,,,,,,,,,Spain 202122
K. Strom,Orlando Pride,Orlando Pride,LB,30,9,606,0,0.09,0,0.48,,,United States,United States,173,0,,,,,,,0,,,7.11,,0,0,0,0,,0,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,20.47,29.93,,,,,,,,,,,,,,,,,,Spain 202122
Julia Aguado,Valencia,Valencia,"RAMF, CF, RW",21,15,602,1,0.36,0,0,,,Spain,Spain,0,0,,,,,,,0,,,4.62,,1,0.15,0,0,,0.15,1,,,0,,3,,,33.333,,,,,,,,,,,,,,,,,,,,,,15.23,1.6,,,,,,,,,,,,,,,,,,Spain 202122
A. Luik,Pomigliano,Pomigliano,LCB,37,7,598,0,0.25,0,0.08,16.79,56.41,Australia,Australia,166,0,9.04,7.11,63.64,3.66,58.82,0,0,0.22,4.52,5.94,0.65,2,0.3,0,0,0.65,0,0,0,0.05,0,0,3,0.65,33.33,0,0,0,0,1.08,40,4.52,42.86,1.08,0.86,0.43,1.29,34.88,78.4,15.72,58.9,2.37,72.73,14.21,96.97,6.89,34.38,22.77,38.26,0.02,0.22,0,0,0,0,0.22,5.81,40.74,1.08,40,0.22,0,0.43,0,6.89,59.38,Spain 202122
D. Caracas,Logroño,Logroño,"RB, LB",24,8,591,0,0,0,0.17,,,Colombia,Colombia,0,0,,,,,,,0.6,,,4.8,,1,0.15,1,0.15,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,22.02,14.99,,,,,,,,,,,,,,,,,,Spain 202122
Nuria Martinez,Madrid CF,Madrid CF,"CB, RCB, RCMF",19,16,591,0,0.29,0,0,,,Spain,Spain,0,0,,,,,,,0.34,,,6.07,,0,0,0,0,,0,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,17.88,19.47,,,,,,,,,,,,,,,,,,Spain 202122
Letti,Espanyol,Espanyol,"RCMF, RDMF, LCMF",24,8,587,0,0.21,0,0.11,23.39,48,Spain,Spain,168,60,8.79,7.11,55.26,4.68,44,0,0,0.19,4.86,5.61,2.43,2,0.31,0,0,1.5,0,0,0,0.04,0,0,3,0.56,33.33,0,0,0,0,2.81,33.33,5.99,46.88,0.75,1.5,0.94,1.31,21.89,66.67,7.86,50,2.81,100,6.36,85.29,2.81,6.67,17.3,24.01,0.02,0.75,0,0,0.56,66.67,0.37,3.18,41.18,0.75,50,0.75,50,0.37,0,4.49,33.33,Spain 202122
Laia Codina,AC Milan,AC Milan,"LCB, RCB",21,10,585,1,1.54,0,0.37,13.71,54.93,Spain,Spain,0,0,7.34,6.76,62.86,1.93,60,0.58,1.14,0.19,2.51,4.94,1.93,1,0.15,0,0,0.97,0.15,0,0,0.3,0,0,5,0.97,40,20,0,0.39,100,0.58,33.33,2.7,35.71,1.35,0.39,0.19,0.58,68.18,93.48,21.05,87.16,4.06,95.24,35.54,97.83,3.86,65,19.7,21.34,0.07,0.39,0,0,0,0,0.19,6.76,85.71,0.77,75,0.19,0,0.39,0.39,7.53,84.62,Spain 202122
Sara Tui,Napoli,Napoli,"RCMF, DMF, LCMF",32,8,582,0,0.09,0,0,,,Spain,Spain,159,58,,,,,,,1.79,,,5.82,,6,0.93,1,0.15,,0,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,21.09,43.12,,,,,,,,,,,,,,,,,,Spain 202122
M. Yamamoto,Espanyol,Espanyol,"RCMF, LDMF, LAMF",29,10,573,1,0.37,0,0.1,,,Japan,Japan,0,0,,,,,,,1.35,,,7.08,,1,0.16,0,0,,0.16,0,,,0,,5,,,0,,,,,,,,,,,,,,,,,,,,,,15.03,27.24,,,,,,,,,,,,,,,,,,Spain 202122
Stefanie Eira,Real Betis,Real Betis,"CF, RW, RCMF",29,23,570,0,0.19,0,0.03,,,Portugal,Portugal,0,0,,,,,,,0,,,3.29,,0,0,0,0,,0,0,,,0,,4,,,0,,,,,,,,,,,,,,,,,,,,,,16.59,12.12,,,,,,,,,,,,,,,,,,Spain 202122
Dany Helena,Real Brasília,Real Brasília,CF,29,7,569,6,3.33,0,0,,,Brazil,Brazil,0,0,,,,,,,0,,,3.23,,0,0,0,0,,0.95,2,,,0,,10,,,20,,,,,,,,,,,,,,,,,,,,,,13.77,0,,,,,,,,,,,,,,,,,,Spain 202122
T. Knaak,Wolfsburg,Wolfsburg,"RB, RAMF",31,8,566,1,0.06,0,0.08,,,Germany,Germany,168,0,,,,,,,0,,,1.91,,0,0,0,0,,0.16,0,,,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,17.89,43.22,,,,,,,,,,,,,,,,,,Spain 202122
Fiamma Iannuzzi,Levante,Levante,"CF, LW, AMF",17,14,566,0,0.13,0,0.66,,,Spain,Spain,0,0,,,,,,,1.05,,,1.58,,0,0,0,0,,0,0,,,0,,3,,,0,,,,,,,,,,,,,,,,,,,,,,16.49,40.23,,,,,,,,,,,,,,,,,,Spain 202122
K. Araya,Sevilla,Sevilla,"AMF, RCMF",31,10,566,1,0.57,1,1.24,,,Chile,Chile,0,0,,,,,,,0.29,,,6.12,,0,0,0,0,,0.16,1,,,0,,7,,,14.286,,,,,,,,,,,,,,,,,,,,,,20.44,33.14,,,,,,,,,,,,,,,,,,Spain 202122
N. Opazo,Santa Teresa,Santa Teresa,DMF,27,7,565,0,0,0,0,,,Spain,"Spain, Chile",163,57,,,,,,,0,,,5,,2,0.32,0,0,,0,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,18.46,36.21,,,,,,,,,,,,,,,,,,Spain 202122
B. Folds,Real Betis,Real Betis,"LWF, LW, LAMF",24,14,563,0,0.01,0,0.25,,,United States,United States,0,0,,,,,,,0,,,4.35,,0,0,0,0,,0,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,16.08,15.46,,,,,,,,,,,,,,,,,,Spain 202122
P. Peyraud-Magnin,Juventus,Juventus,GK,30,6,558,0,0,0,0,,,France,France,173,0,,,,,,,0,,,3.75,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,30.63,46.28,,,,,,,,,,,,,,,,,,Spain 202122
Izarne Sarasola,Real Sociedad,Real Sociedad,LB,20,13,554,0,0,0,0.12,,,Spain,Spain,0,0,,,,,,,0.82,,,11.1,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,13.44,12.35,,,,,,,,,,,,,,,,,,Spain 202122
Noelia García,Eibar,Eibar,GK,29,6,551,0,0,0,0,,,Spain,Spain,0,0,,,,,,,0,,,5.56,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,27.3,38.37,,,,,,,,,,,,,,,,,,Spain 202122
R. Elloh,Logroño,Logroño,RWF,27,9,542,1,0.06,0,0,,,Côte d'Ivoire,Côte d'Ivoire,160,0,,,,,,,0,,,3.41,,3,0.5,0,0,,0.17,0,,,0,,2,,,0,,,,,,,,,,,,,,,,,,,,,,22.75,0,,,,,,,,,,,,,,,,,,Spain 202122
Sara Medina,Villarreal,Villarreal,"RCMF, RWF",23,19,535,1,0.14,0,0.23,,,Spain,Spain,0,0,,,,,,,1.64,,,6.58,,0,0,0,0,,0.17,1,,,0,,2,,,50,,,,,,,,,,,,,,,,,,,,,,15.27,21.43,,,,,,,,,,,,,,,,,,Spain 202122
E. Laurent,Olympique Lyonnais,Olympique Lyonnais,"LWF, AMF, RAMF",23,10,533,5,1.17,0,0.25,,,France,France,161,50,,,,,,,0.86,,,1.71,,0,0,0,0,,0.84,1,,,1,,7,,,14.286,,,,,,,,,,,,,,,,,,,,,,13.66,6.94,,,,,,,,,,,,,,,,,,Spain 202122
